TestSat.UTCModJulian      TestSat.A1ModJulian       TestSat.Earth.Latitude    TestSat.Earth.Longitude   TestSat.Earth.Altitude    
30910.21216437512         30910.21259301380         -38.62054953097595        -41.41007749454450        427.5263184896421         
30910.21321999291         30910.21364863159         -42.04985651904273        -35.52619998797505        428.9355967503525         
30910.21428050855         30910.21470914722         -45.11132741073480        -28.94312169591822        430.2000947072474         
30910.21524458330         30910.21567322198         -47.48799102964188        -22.33480695647659        431.1808942141961         
30910.21628785108         30910.21671648976         -49.54016373660293        -14.52300944943066        432.0274602003938         
30910.21734497495         30910.21777361363         -50.98235620796336        -5.997185866921368        432.6292700005888         
30910.21840671227         30910.21883535095         -51.71157846332916        2.990343123151455         432.9537493963617         
30910.21946769244         30910.21989633111         -51.67877649711851        12.11520855344895         432.9870300573566         
30910.22052898465         30910.22095762332         -50.88635632664639        21.07252136524743         432.7291032765934         
30910.22131180160         30910.22174044028         -49.83991467230313        27.40596484853730         432.3578274636302         
30910.22152236505         30910.22195100372         -49.49563300333592        29.05668088317534         432.2327600403087         
30910.22178445945         30910.22221309812         -49.03169609154116        31.07650897795844         432.0626492924011         
30910.22211666726         30910.22254530594         -48.38921290276455        33.57836171907656         431.8246043927429         
30910.22218902775         30910.22261766642         -48.24144704138210        34.11438565438773         431.7695049684480         
30910.22229658844         30910.22272522712         -48.01675767841819        34.90514902334557         431.6854951583346         
30910.22252427745         30910.22295291613         -47.52164848295197        36.55506783699855         431.4994845677593         
30910.22284585264         30910.22327449132         -46.77885070284196        38.82897160508561         431.2183853482065         
30910.22331306438         30910.22374170306         -45.61378469562405        42.01370186509072         430.7734341469568         
30910.22397883218         30910.22440747085         -43.79217639172845        46.30873886852722         430.0703852847601         
30910.22479583183         30910.22522447051         -41.32715195979539        51.20033322065223         429.1105446907477         
30910.22582867988         30910.22625731856         -37.90400560466573        56.82889029665465         427.7747278325096         
30910.22688697250         30910.22731561118         -34.10589241871677        62.02644026223103         426.3088359654539         
30910.22794598206         30910.22837462074         -30.07061376261764        66.73769464892409         424.7950134204057         
30910.22900245187         30910.22943109054         -25.86061434711193        71.03486104301594         423.2905317457526         
30910.22913347219         30910.22956211086         -25.32774635448697        71.54370223604293         423.1068972654984         
30910.22932324326         30910.22975188194         -24.55217208556284        72.27218571711154         422.8426679236600         
30910.22965634825         30910.23008498692         -23.18060069731337        73.52765845841152         422.3846557544784         
30910.23017926555         30910.23060790423         -21.00342920184621        75.44345044832599         421.6836888928847         
30910.23101712840         30910.23144576708         -17.46211424277567        78.39093380950870         420.6188784507603         
30910.23205402598         30910.23248266465         -13.00766043544593        81.87103761049646         419.4279871435210         
